"carriername","carriercode","delay"
"AirTran Airways Corporation","FL",1031426
"Alaska Airlines Inc.","AS",2561037
"Aloha Airlines Inc.","AQ",102037
"America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.)","HP",3324163
"American Airlines Inc.","AA",12833896
"American Eagle Airlines Inc.","MQ",3061296
"ATA Airlines d/b/a ATA","TZ",141866
"Atlantic Southeast Airlines","EV",1446016
"Comair Inc.","OH",1049157
"Continental Air Lines Inc.","CO",6883481
"Delta Air Lines Inc.","DL",16889842
"Eastern Air Lines Inc.","EA",636299
"Expressjet Airlines Inc.","XE",1761403
"Frontier Airlines Inc.","F9",309366
"Hawaiian Airlines Inc.","HA",116179
"Independence Air","DH",477388
"JetBlue Airways","B6",701689
"Mesa Airlines Inc.","YV",631259
"Midway Airlines Inc. (1)","ML (1)",46128
"Northwest Airlines Inc.","NW",7732601
"Pacific Southwest Airlines","PS",94413
"Pan American World Airways (1)","PA (1)",223042
"Piedmont Aviation Inc.","PI",1142322
"Pinnacle Airlines Inc.","9E",343652
"Skywest Airlines Inc.","OO",2260743
"Southwest Airlines Co.","WN",12986127
"Trans World Airways LLC","TW",3145088
"United Air Lines Inc.","UA",12325423
"US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.)","US",13600161
